Country Name,Country Code,Year,GDP_per_capita,Unemployment_rate
Caribbean small states,CSS,1991.0,3576.50297617428,14.9935017228523
Cuba,CUB,1991.0,2268.83493247194,8.311
Cyprus,CYP,1991.0,9696.099609375,3.0
Czechia,CZE,1991.0,2917.08655474323,2.27
Germany,DEU,1991.0,23443.3350818536,5.316
Djibouti,DJI,1991.0,732.733101553782,25.669
Denmark,DNK,1991.0,27002.8057705804,9.099
Dominican Republic,DOM,1991.0,1345.84673690623,6.907
Algeria,DZA,1991.0,1759.11201648229,20.6
East Asia & Pacific (excluding high income),EAP,1991.0,445.104313422988,2.40711360910144
Early-demographic dividend,EAR,1991.0,971.712779911296,6.33439986099767
East Asia & Pacific,EAS,1991.0,2936.4778173592,2.45348182930803
Europe & Central Asia (excluding high income),ECA,1991.0,1641.62771442557,4.44287892433259
Europe & Central Asia,ECS,1991.0,10763.970217085,6.88775531511316
Ecuador,ECU,1991.0,1587.36049996672,4.385
"Egypt, Arab Rep.",EGY,1991.0,622.829605007867,9.38
Euro area,EMU,1991.0,19305.4650158921,8.31721718313706
Spain,ESP,1991.0,14801.3226152172,15.929
Ethiopia,ETH,1991.0,277.565910365091,3.264
European Union,EUU,1991.0,15959.6505474959,8.58763776597261
Fragile and conflict affected situations,FCS,1991.0,772.809461824039,4.5095015914307
Finland,FIN,1991.0,25488.8450525604,6.503
Fiji,FJI,1991.0,1774.99211138118,4.633
France,FRA,1991.0,21500.7778366233,9.134
Gabon,GAB,1991.0,5345.0965303052,17.282
United Kingdom,GBR,1991.0,19900.7266505069,8.55
Georgia,GEO,1991.0,1310.97315894409,2.7
Ghana,GHA,1991.0,418.254121349986,3.489
Guinea,GIN,1991.0,656.42373119518,4.573
"Gambia, The",GMB,1991.0,627.578919318827,9.861
Guinea-Bissau,GNB,1991.0,672.07387884966,3.038
Equatorial Guinea,GNQ,1991.0,225.319378519763,7.25
Greece,GRC,1991.0,10046.6663875475,7.572
Guatemala,GTM,1991.0,1014.40279682682,2.684
Guyana,GUY,1991.0,466.039938988882,12.055
High income,HIC,1991.0,17400.2465711859,6.5822673402274
"Hong Kong SAR, China",HKG,1991.0,15465.9245305858,1.8
Honduras,HND,1991.0,907.271114551007,4.58
Heavily indebted poor countries (HIPC),HPC,1991.0,483.553652381384,5.11956826825244
Croatia,HRV,1991.0,4000.91677428625,11.14
Haiti,HTI,1991.0,496.545987433864,7.363
Hungary,HUN,1991.0,3350.25832349229,8.5
IBRD only,IBD,1991.0,1006.43204294889,4.97525000634258
IDA & IBRD total,IBT,1991.0,893.684128347796,4.82485809355167
IDA total,IDA,1991.0,454.846229503816,4.10807039624798
IDA blend,IDB,1991.0,537.518368786316,3.11460149423059
Indonesia,IDN,1991.0,624.387495384411,2.617
IDA only,IDX,1991.0,416.256883689531,4.59523480581872
India,IND,1991.0,305.574055928592,7.722
Ireland,IRL,1991.0,14087.2077980306,15.771
"Iran, Islamic Rep.",IRN,1991.0,2194.43906802841,11.1
Iraq,IRQ,1991.0,22.9521327615352,8.652
Iceland,ISL,1991.0,26802.9895156678,2.548
Israel,ISR,1991.0,14320.2831935277,13.387
Italy,ITA,1991.0,22007.1350964074,10.097
Jamaica,JAM,1991.0,1710.30058243722,6.235
Jordan,JOR,1991.0,1109.65564611997,21.406
Japan,JPN,1991.0,29428.4289039469,2.059
Kazakhstan,KAZ,1991.0,1442.42455540825,0.9
Kenya,KEN,1991.0,344.722642127742,2.792
Kyrgyz Republic,KGZ,1991.0,569.548584035047,1.0
Cambodia,KHM,1991.0,267.336306726982,0.781
"Korea, Rep.",KOR,1991.0,7636.9480638849,2.407
Kuwait,KWT,1991.0,8147.10807329839,0.881
Latin America & Caribbean (excluding high income),LAC,1991.0,2558.68404315387,6.03987152412194
Lao PDR,LAO,1991.0,231.806227548139,2.498
Lebanon,LBN,1991.0,1278.42125745633,8.609
Liberia,LBR,1991.0,177.867006590279,2.641
Libya,LBY,1991.0,7039.83391970596,18.538
St. Lucia,LCA,1991.0,4398.67906897723,16.498
Latin America & Caribbean,LCN,1991.0,2650.38259057936,6.3286389967294
Least developed countries: UN classification,LDC,1991.0,389.689602747422,4.55184954799942
Low income,LIC,1991.0,487.657602283672,4.74892767232946
Sri Lanka,LKA,1991.0,546.292515570886,14.661
Lower middle income,LMC,1991.0,403.77183295565,6.07132045206776
Low & middle income,LMY,1991.0,762.900985155045,4.64940746265101
Lesotho,LSO,1991.0,382.291247739142,15.59
Late-demographic dividend,LTE,1991.0,1060.35122745223,3.64713180152608
Luxembourg,LUX,1991.0,35747.3377992066,1.482
"Macao SAR, China",MAC,1991.0,10707.3786750774,3.01
Morocco,MAR,1991.0,1292.23376464844,13.538
Moldova,MDA,1991.0,1037.89950336245,1.9
Madagascar,MDG,1991.0,262.024402380479,6.168
Maldives,MDV,1991.0,1054.33413828759,0.799
Middle East & North Africa,MEA,1991.0,2389.1598626247,11.3523470369861
Mexico,MEX,1991.0,3708.8420548157,3.145
Middle income,MIC,1991.0,786.664734494057,4.64242131696085
North Macedonia,MKD,1991.0,2402.13517656378,24.5
Mali,MLI,1991.0,290.949913986172,1.405
Malta,MLT,1991.0,7558.7543893379,6.353
Myanmar,MMR,1991.0,51.2408970610106,0.832
Middle East & North Africa (excluding high income),MNA,1991.0,1390.33478262841,11.9087676885652
Mongolia,MNG,1991.0,1098.68017445549,5.659
Mozambique,MOZ,1991.0,288.708092484444,2.842
Mauritania,MRT,1991.0,1061.67704285264,9.984
Mauritius,MUS,1991.0,2705.26648158805,9.507
Malawi,MWI,1991.0,325.75273105931,4.923
Malaysia,MYS,1991.0,2679.20101106745,3.702
North America,NAC,1991.0,24094.1306916521,7.16085104908465
Namibia,NAM,1991.0,2116.90552516214,19.14
New Caledonia,NCL,1991.0,14642.5179713722,18.009
Niger,NER,1991.0,384.44311679922,1.583
Nigeria,NGA,1991.0,596.938795710722,3.851
Nicaragua,NIC,1991.0,349.514318640612,7.946
Netherlands,NLD,1991.0,21764.2144987258,7.285
Norway,NOR,1991.0,28596.9330036444,5.407
Nepal,NPL,1991.0,195.716621410462,10.484
New Zealand,NZL,1991.0,12230.0734548834,10.614
OECD members,OED,1991.0,17838.9777124401,6.78414270479512
Oman,OMN,1991.0,6977.3285922345,4.055
Other small states,OSS,1991.0,3997.82754554798,7.5631422171769
Pakistan,PAK,1991.0,380.019843346229,0.611
Panama,PAN,1991.0,2820.54547665418,6.445
Peru,PER,1991.0,1527.38879472866,4.934
Philippines,PHL,1991.0,804.323330530547,3.729
Papua New Guinea,PNG,1991.0,941.707721616563,2.799
Poland,POL,1991.0,2235.54108862522,13.611
Pre-demographic dividend,PRE,1991.0,515.783490370981,5.35343880366293
Puerto Rico,PRI,1991.0,9064.01851711486,16.18
Portugal,PRT,1991.0,8958.9853330247,3.919
Paraguay,PRY,1991.0,1685.26890082621,5.1
Pacific island small states,PSS,1991.0,1404.20976030884,3.89042642665223
Post-demographic dividend,PST,1991.0,20031.3022090958,6.30645497853292
French Polynesia,PYF,1991.0,16414.8132696888,11.592
Qatar,QAT,1991.0,15133.4969397069,0.87
Romania,ROU,1991.0,1254.3124421298,8.218
Russian Federation,RUS,1991.0,3490.45239257813,5.068
Rwanda,RWA,1991.0,253.966902025944,12.31
South Asia,SAS,1991.0,310.156259080444,6.76352765549582
Saudi Arabia,SAU,1991.0,11847.1699534218,7.294
Sudan,SDN,1991.0,1617.55676269531,15.652
Senegal,SEN,1991.0,913.399575796737,2.867
Singapore,SGP,1991.0,14502.3799938606,2.18
Solomon Islands,SLB,1991.0,665.833104132659,1.985
Sierra Leone,SLE,1991.0,183.68639063947,4.085
El Salvador,SLV,1991.0,955.826897421092,7.53
Somalia,SOM,1991.0,105.37132651622,19.315
Sub-Saharan Africa (excluding high income),SSA,1991.0,756.185816260145,6.51355030318109
Sub-Saharan Africa,SSF,1991.0,756.831628273054,6.51355030318109
Small states,SST,1991.0,3580.61282699231,8.34742761685551
Sao Tome and Principe,STP,1991.0,855.105075821698,14.513
Suriname,SUR,1991.0,1079.72521342705,17.085
Slovak Republic,SVK,1991.0,2726.59305498582,12.166
Slovenia,SVN,1991.0,7229.31149788617,7.08
Sweden,SWE,1991.0,31777.0327994132,3.243
Eswatini,SWZ,1991.0,1273.01224518903,20.684
Syrian Arab Republic,SYR,1991.0,1000.07798684947,6.75
Chad,TCD,1991.0,302.487268390603,0.674
East Asia & Pacific (IDA & IBRD countries),TEA,1991.0,450.576380214553,2.40874403795317
Europe & Central Asia (IDA & IBRD countries),TEC,1991.0,2323.78734790133,5.88516272026417
Togo,TGO,1991.0,549.808011573,4.085
Thailand,THA,1991.0,1765.62267359529,2.63
Tajikistan,TJK,1991.0,457.767825924805,1.845
Turkmenistan,TKM,1991.0,831.99873207474,1.4
Latin America & the Caribbean (IDA & IBRD countries),TLA,1991.0,2590.23599823581,6.20290724125678
Timor-Leste,TLS,1991.0,189.794649212749,3.51
Middle East & North Africa (IDA & IBRD countries),TMN,1991.0,1389.48839274528,11.9172826629998
Tonga,TON,1991.0,1323.40098550339,1.349
South Asia (IDA & IBRD),TSA,1991.0,310.156259080444,6.76352765549582
Sub-Saharan Africa (IDA & IBRD countries),TSS,1991.0,756.831628273054,6.5135503031811
Trinidad and Tobago,TTO,1991.0,4205.37778348016,18.52
Tunisia,TUN,1991.0,1537.87916511306,15.946
Turkiye,TUR,1991.0,2649.27259974439,8.21
Tanzania,TZA,1991.0,276.452453613281,3.6
Uganda,UGA,1991.0,182.955897348348,3.464
Ukraine,UKR,1991.0,1482.6396484375,1.9
Upper middle income,UMC,1991.0,1101.71388519607,3.77201548147362
Uruguay,URY,1991.0,3589.01541942634,8.95
United States,USA,1991.0,24342.2589048189,6.8
Uzbekistan,UZB,1991.0,658.313550528068,1.9
St. Vincent and the Grenadines,VCT,1991.0,2270.76357246912,19.77
"Venezuela, RB",VEN,1991.0,2632.53969814106,9.45
Viet Nam,VNM,1991.0,143.715270231936,2.142
Vanuatu,VUT,1991.0,1326.37321256212,7.997
World,WLD,1991.0,4437.53709213031,5.13377969924987
Samoa,WSM,1991.0,741.563963808482,2.1
"Yemen, Rep.",YEM,1991.0,1016.30223044813,8.409
South Africa,ZAF,1991.0,3243.23616023953,23.002
Zambia,ZMB,1991.0,423.071256835592,18.9
Zimbabwe,ZWE,1991.0,830.52710398723,4.813
Africa Eastern and Southern,AFE,1992.0,733.178346101692,8.27072384795289
Africa Western and Central,AFW,1992.0,563.310080449865,4.25110173142729
Angola,AGO,1992.0,668.706017459877,16.978
Albania,ALB,1992.0,200.852219772323,30.007
Arab World,ARB,1992.0,1996.37756446941,12.1603853600891
United Arab Emirates,ARE,1992.0,25648.2727760844,1.713
Argentina,ARG,1992.0,6789.99611136495,6.36
Armenia,ARM,1992.0,356.350780006933,1.8
Australia,AUS,1992.0,18624.1877335866,10.733
Austria,AUT,1992.0,24782.7118767063,3.59
Azerbaijan,AZE,1992.0,60.2351205405972,1.8
Burundi,BDI,1992.0,184.868970456447,3.133
Belgium,BEL,1992.0,23372.619171015,6.702
Benin,BEN,1992.0,301.77329696287,1.51
Burkina Faso,BFA,1992.0,348.592443894547,2.511
Bangladesh,BGD,1992.0,273.465072520272,2.234
Bulgaria,BGR,1992.0,1211.98087810931,15.3
Bahrain,BHR,1992.0,10460.1583222808,0.971
"Bahamas, The",BHS,1992.0,10873.4047501635,14.81
Bosnia and Herzegovina,BIH,1992.0,1118.17569934079,18.5
Belarus,BLR,1992.0,1658.08641281239,3.1
Belize,BLZ,1992.0,3645.61243670903,9.697
Bolivia,BOL,1992.0,759.57113496365,3.031
Brazil,BRA,1992.0,2127.31642731638,7.086
Barbados,BRB,1992.0,7519.20143544898,22.94
Brunei Darussalam,BRN,1992.0,23450.8964414887,4.711
Bhutan,BTN,1992.0,415.791522568451,1.397
Botswana,BWA,1992.0,3004.61263362306,16.326
Central African Republic,CAF,1992.0,461.587303490896,5.455
Canada,CAN,1992.0,20950.3305287651,11.197
Central Europe and the Baltics,CEB,1992.0,2332.2457967338,10.2193743198593
Switzerland,CHE,1992.0,40713.6881521435,2.344
Chile,CHL,1992.0,3309.39923858023,4.35
China,CHN,1992.0,366.460692306116,2.37
Cote d'Ivoire,CIV,1992.0,844.902223806738,6.7
Cameroon,CMR,1992.0,1005.44897647465,8.999
"Congo, Dem. Rep.",COD,1992.0,209.188252592503,3.36
"Congo, Rep.",COG,1992.0,1164.22442980292,19.92
Colombia,COL,1992.0,1729.66397332384,9.44
Comoros,COM,1992.0,983.392533644385,4.532
Cabo Verde,CPV,1992.0,907.847909529157,13.448
Costa Rica,CRI,1992.0,2612.38756453737,3.93
Caribbean small states,CSS,1992.0,3615.79433285632,15.4916749294238
Cuba,CUB,1992.0,2047.67900346421,8.778
Cyprus,CYP,1992.0,11310.072265625,2.09
Czechia,CZE,1992.0,3396.70972430469,2.6
Germany,DEU,1992.0,26559.8543879632,6.323
Djibouti,DJI,1992.0,763.659214503152,25.985
Denmark,DNK,1992.0,29579.4913648682,9.027
Dominican Republic,DOM,1992.0,1558.29782071075,6.7
Algeria,DZA,1992.0,1802.69300801289,24.38
East Asia & Pacific (excluding high income),EAP,1992.0,492.097415918555,2.37611306626529
Early-demographic dividend,EAR,1992.0,1032.62874090961,6.40385203316569
East Asia & Pacific,EAS,1992.0,3167.01690736405,2.44648499638451
Europe & Central Asia (excluding high income),ECA,1992.0,1566.85024834852,5.21097173523188
Europe & Central Asia,ECS,1992.0,11480.9843977373,7.49470977836801
Ecuador,ECU,1992.0,1655.44613192632,4.346
"Egypt, Arab Rep.",EGY,1992.0,680.79923864551,8.92
Euro area,EMU,1992.0,21178.5256420003,8.9295607186825
Eritrea,ERI,1992.0,265.240962963337,5.256
Spain,ESP,1992.0,16100.6799428032,17.697
Ethiopia,ETH,1992.0,207.406400863847,3.379
European Union,EUU,1992.0,17473.9139868998,9.23724014256356
Fragile and conflict affected situations,FCS,1992.0,671.988540273265,4.46040064545176
Finland,FIN,1992.0,22320.1124695857,11.595
Fiji,FJI,1992.0,1951.25592930351,4.653
France,FRA,1992.0,23615.0168565483,10.203
Gabon,GAB,1992.0,5385.68811745078,17.725
United Kingdom,GBR,1992.0,20487.1707852878,9.772
Georgia,GEO,1992.0,757.223548505358,5.4
Ghana,GHA,1992.0,396.426407640517,4.7
Guinea,GIN,1992.0,692.647802662806,4.598
"Gambia, The",GMB,1992.0,623.485927783598,9.961
Guinea-Bissau,GNB,1992.0,574.32110641811,3.099
Equatorial Guinea,GNQ,1992.0,263.733547088944,7.45
Greece,GRC,1992.0,11021.012224607,8.927
Guatemala,GTM,1992.0,1096.45976992698,2.639
Guyana,GUY,1992.0,498.156636569954,11.9
High income,HIC,1992.0,18496.9354525031,7.08080825702171
"Hong Kong SAR, China",HKG,1992.0,17976.4688629053,1.96
Honduras,HND,1992.0,937.828918006075,3.06
Heavily indebted poor countries (HIPC),HPC,1992.0,357.69940077491,5.22404122059886
Croatia,HRV,1992.0,2321.15204123035,10.914
Haiti,HTI,1992.0,316.276513134354,7.428
Hungary,HUN,1992.0,3735.10582034276,9.942
IBRD only,IBD,1992.0,1034.34043581297,5.03662437383886
IDA & IBRD total,IBT,1992.0,902.840589714563,4.88353235871948
IDA total,IDA,1992.0,395.149702045176,4.16210123816829
IDA blend,IDB,1992.0,505.344467104941,3.17946837976673
Indonesia,IDN,1992.0,673.67103954742,2.734
IDA only,IDX,1992.0,341.772705154387,4.6448147279463
India,IND,1992.0,319.182472626315,7.733
Ireland,IRL,1992.0,15714.3847487231,15.021
"Iran, Islamic Rep.",IRN,1992.0,1957.48507794252,10.653
Iraq,IRQ,1992.0,30.2539012636825,8.368
Iceland,ISL,1992.0,27124.2745379594,4.305
Israel,ISR,1992.0,15482.1005731603,14.08
Italy,ITA,1992.0,23297.0460325456,9.321
Jamaica,JAM,1992.0,1458.10146892635,6.389
Jordan,JOR,1992.0,1286.6347360596,19.945
Japan,JPN,1992.0,31992.7902119161,2.158
Kazakhstan,KAZ,1992.0,1437.59848100913,1.0
Kenya,KEN,1992.0,336.68139978696,2.903
Kyrgyz Republic,KGZ,1992.0,512.766797900164,1.1
Cambodia,KHM,1992.0,307.094922385136,0.76
"Korea, Rep.",KOR,1992.0,8126.66206183629,2.513
Kuwait,KWT,1992.0,12146.19505586,0.875
Latin America & Caribbean (excluding high income),LAC,1992.0,2728.13814335381,6.13974037591218
Lao PDR,LAO,1992.0,247.345286150532,2.717
Lebanon,LBN,1992.0,1559.38100628446,8.259
Liberia,LBR,1992.0,107.842801384441,2.623
Libya,LBY,1992.0,7302.68908679226,18.796
St. Lucia,LCA,1992.0,4759.83867808296,16.529
Latin America & Caribbean,LCN,1992.0,2841.5696542465,6.31959532715042
Least developed countries: UN classification,LDC,1992.0,300.707348677371,4.60568742147814
Low income,LIC,1992.0,331.339584156399,4.81326354931111
Sri Lanka,LKA,1992.0,579.655117618283,14.22
Lower middle income,LMC,1992.0,411.904935197462,6.08681617423178
Low & middle income,LMY,1992.0,784.821705804466,4.71217867429729
Lesotho,LSO,1992.0,443.624297195576,15.543
Late-demographic dividend,LTE,1992.0,1068.01185853515,3.66273118059671
Luxembourg,LUX,1992.0,39570.8615665986,2.029
"Macao SAR, China",MAC,1992.0,13249.8387410349,2.196
Morocco,MAR,1992.0,1327.02954101563,13.8
Moldova,MDA,1992.0,778.017667420102,3.7
Madagascar,MDG,1992.0,290.2120463948,6.268
Maldives,MDV,1992.0,1194.2325242813,0.805
Middle East & North Africa,MEA,1992.0,2452.47200239173,11.4976842480655
Mexico,MEX,1992.0,4220.56643677057,3.235
Middle income,MIC,1992.0,821.40696946941,4.70501322460551
North Macedonia,MKD,1992.0,1198.92829846257,26.3
Mali,MLI,1992.0,296.295758235174,1.483
Malta,MLT,1992.0,8220.33925272398,6.349
Myanmar,MMR,1992.0,58.8896739558883,0.8
Middle East & North Africa (excluding high income),MNA,1992.0,1383.77121121718,12.0827332589964
Mongolia,MNG,1992.0,607.813424662797,5.843
Mozambique,MOZ,1992.0,205.585216062094,3.033
Mauritania,MRT,1992.0,1036.47437808576,10.058
Mauritius,MUS,1992.0,3013.23706337167,9.451
Malawi,MWI,1992.0,258.393430877557,5.073
Malaysia,MYS,1992.0,3141.43321987651,3.71
North America,NAC,1992.0,24974.7405630878,7.87315728585848
Namibia,NAM,1992.0,2346.86242963741,18.932
New Caledonia,NCL,1992.0,15713.7198562158,18.616
Niger,NER,1992.0,384.029657304316,1.566
Nigeria,NGA,1992.0,508.515905682785,3.81
Nicaragua,NIC,1992.0,411.473330661786,7.838
Netherlands,NLD,1992.0,23939.2173482108,5.555
Norway,NOR,1992.0,30523.9850558974,5.91
Nepal,NPL,1992.0,165.02959412726,10.493
New Zealand,NZL,1992.0,11793.1392416214,10.667
OECD members,OED,1992.0,19010.6919956856,7.26891880560992
Oman,OMN,1992.0,7317.78815838166,4.158
Other small states,OSS,1992.0,4260.36676838491,8.10883792771733
Pakistan,PAK,1992.0,395.67720859593,0.596
Panama,PAN,1992.0,3139.89952899581,6.303
Peru,PER,1992.0,1567.40910765128,5.071
Philippines,PHL,1992.0,916.515694532029,3.844
Papua New Guinea,PNG,1992.0,1050.7071689258,2.618
Poland,POL,1992.0,2459.02068468253,13.645
Pre-demographic dividend,PRE,1992.0,390.74430540958,5.39167945098861
Puerto Rico,PRI,1992.0,9659.33889995916,16.93
Portugal,PRT,1992.0,10810.5665079626,3.985
Paraguay,PRY,1992.0,1682.67444777611,4.98
Pacific island small states,PSS,1992.0,1519.64826261818,3.88849468155863
Post-demographic dividend,PST,1992.0,21340.7754287922,6.91555480227677
French Polynesia,PYF,1992.0,17554.3737937032,11.731
Qatar,QAT,1992.0,16280.2938815273,0.87
Romania,ROU,1992.0,1102.10378473246,8.26
Russian Federation,RUS,1992.0,3098.802734375,5.181
Rwanda,RWA,1992.0,264.083914517464,12.12
South Asia,SAS,1992.0,322.0717403592,6.76072686481988
Saudi Arabia,SAU,1992.0,11730.2687665244,7.2
Sudan,SDN,1992.0,252.610092163086,15.702
Senegal,SEN,1992.0,951.204960087807,2.926
Singapore,SGP,1992.0,16136.2405377661,3.09
Solomon Islands,SLB,1992.0,763.857968549522,1.868
Sierra Leone,SLE,1992.0,163.197626253287,4.266
El Salvador,SLV,1992.0,1040.78164082019,7.88
Somalia,SOM,1992.0,109.204910481074,19.536
Sub-Saharan Africa (excluding high income),SSA,1992.0,662.720391550042,6.6052009537345
Sub-Saharan Africa,SSF,1992.0,663.477496474766,6.60520095373451
Small states,SST,1992.0,3779.57443022664,8.82633928791139
Sao Tome and Principe,STP,1992.0,740.471126547797,14.662
Suriname,SUR,1992.0,968.895253466926,17.28
Slovak Republic,SVK,1992.0,2959.33644860111,12.192
Slovenia,SVN,1992.0,7151.15243829224,7.809
Sweden,SWE,1992.0,32753.8047025569,5.722
Eswatini,SWZ,1992.0,1361.8169795148,21.052
Syrian Arab Republic,SYR,1992.0,990.138251191708,6.949
Chad,TCD,1992.0,290.648286132566,0.664
East Asia & Pacific (IDA & IBRD countries),TEA,1992.0,498.137648867353,2.3767716688128
Europe & Central Asia (IDA & IBRD countries),TEC,1992.0,2142.4296552053,6.35082862580249
Togo,TGO,1992.0,564.71733648074,4.222
Thailand,THA,1992.0,1971.60879910694,1.35
Tajikistan,TJK,1992.0,337.833145514813,1.85
Turkmenistan,TKM,1992.0,811.354156451902,1.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,1992.0,2788.13063096115,6.17702254687019
Timor-Leste,TLS,1992.0,235.064767714477,3.537
Middle East & North Africa (IDA & IBRD countries),TMN,1992.0,1383.17977012914,12.0923957312831
Tonga,TON,1992.0,1370.36142598699,1.35
South Asia (IDA & IBRD),TSA,1992.0,322.0717403592,6.76072686481988
Sub-Saharan Africa (IDA & IBRD countries),TSS,1992.0,663.477496474767,6.6052009537345
Trinidad and Tobago,TTO,1992.0,4277.47436935604,19.66
Tunisia,TUN,1992.0,1784.81850188268,15.616
Turkiye,TUR,1992.0,2743.65320297936,8.509
Tanzania,TZA,1992.0,250.329925537109,3.679
Uganda,UGA,1992.0,152.113542415537,3.556
Ukraine,UKR,1992.0,1413.24011230469,1.9
Upper middle income,UMC,1992.0,1161.32170274266,3.8533191193665
Uruguay,URY,1992.0,4101.71054155291,8.96
United States,USA,1992.0,25418.9907763319,7.5
Uzbekistan,UZB,1992.0,602.920525827048,2.9
St. Vincent and the Grenadines,VCT,1992.0,2470.51840791008,19.545
"Venezuela, RB",VEN,1992.0,2907.30334439434,7.69
Viet Nam,VNM,1992.0,144.549392371677,2.11
Vanuatu,VUT,1992.0,1343.68942861831,7.964
World,WLD,1992.0,4661.97391702209,5.29010950422846
Samoa,WSM,1992.0,776.740824409711,2.44
"Yemen, Rep.",YEM,1992.0,1198.13031674085,8.342
South Africa,ZAF,1992.0,3462.39400202835,23.262
Zambia,ZMB,1992.0,389.254665832226,19.544
Zimbabwe,ZWE,1992.0,630.819531520084,4.938
Africa Eastern and Southern,AFE,1993.0,709.663898415713,8.26632715332635
Africa Western and Central,AFW,1993.0,570.888640658992,4.36980488975891
Angola,AGO,1993.0,449.727894936295,17.399
Albania,ALB,1993.0,367.279225077581,25.251
Arab World,ARB,1993.0,1987.85773364854,12.9182743533617
United Arab Emirates,ARE,1993.0,25032.7822702907,1.905
Argentina,ARG,1993.0,6931.85596375876,10.1
Armenia,ARM,1993.0,347.870644720878,5.3
Australia,AUS,1993.0,17699.8764915704,10.879
Austria,AUT,1993.0,23987.2037240657,4.25
Azerbaijan,AZE,1993.0,209.530954548425,4.5
Burundi,BDI,1993.0,165.344120319403,3.08
Belgium,BEL,1993.0,22283.9360213551,8.078
Benin,BEN,1993.0,387.310054813122,1.495
Burkina Faso,BFA,1993.0,324.111576707435,2.438
Bangladesh,BGD,1993.0,280.757274450366,2.311
Bulgaria,BGR,1993.0,1278.52511370319,16.4
Bahrain,BHR,1993.0,11151.871495742,0.884
"Bahamas, The",BHS,1993.0,10613.0658785813,12.72
Bosnia and Herzegovina,BIH,1993.0,929.872118717018,19.454
Belarus,BLR,1993.0,1589.51011343649,8.5
Belize,BLZ,1993.0,3862.7104904003,9.78
Bolivia,BOL,1993.0,756.637016048451,3.05
Brazil,BRA,1993.0,2348.88247685352,6.03
Barbados,BRB,1993.0,7904.70762426389,24.54
Brunei Darussalam,BRN,1993.0,22397.073791312,4.806
Bhutan,BTN,1993.0,407.39984249657,1.433
Botswana,BWA,1993.0,2929.43119022452,18.759
Central African Republic,CAF,1993.0,404.954546941526,5.521
Canada,CAN,1993.0,20186.7988782965,11.377
Central Europe and the Baltics,CEB,1993.0,2455.81276164257,11.7123255728987
Switzerland,CHE,1993.0,39237.1186558781,3.551
Chile,CHL,1993.0,3494.9946093213,4.49
China,CHN,1993.0,377.3898394789,2.69
Cote d'Ivoire,CIV,1993.0,804.149657211252,5.866
Cameroon,CMR,1993.0,1309.93629975506,9.089
"Congo, Dem. Rep.",COD,1993.0,263.373274463976,3.433
"Congo, Rep.",COG,1993.0,1034.37200809816,19.985
Colombia,COL,1993.0,1930.05976548029,7.8
Comoros,COM,1993.0,956.087575782514,4.576
Cabo Verde,CPV,1993.0,1220.04997868613,13.314
Costa Rica,CRI,1993.0,2840.38706479397,3.95
Caribbean small states,CSS,1993.0,3726.29840331438,15.0962160887464
Cuba,CUB,1993.0,2063.20366253587,9.261
Cyprus,CYP,1993.0,10526.1416015625,2.7
